Id,SalePrice
1461,106577.61303
1462,140554.818129
1463,180508.383926
1464,201631.649263
1465,217779.496271
1466,178014.345635
1467,195108.193622
1468,167771.46546
1469,214336.444258
1470,121966.971621
1471,185347.72662
1472,106980.057316
1473,93731.4873239
1474,155392.408787
1475,109709.204347
1476,378197.669907
1477,281551.955561
1478,331231.199578
1479,327007.794067
1480,459903.158721
1481,325070.569206
1482,239950.581347
1483,178522.599333
1484,177735.07952
1485,204299.896147
1486,206683.196416
1487,341254.317214
1488,250227.624881
1489,212633.577111
1490,248673.025129
1491,201781.540605
1492,78306.9435368
1493,236835.898589
1494,309415.372606
1495,295874.725456
1496,251963.324303
1497,177055.78723
1498,166997.531315
1499,164400.206965
1500,158429.893604
1501,197129.854171
1502,151871.450996
1503,296240.610804
1504,245477.08881
1505,226866.533977
1506,202313.031144
1507,249080.931154
1508,197673.470385
1509,163603.283257
1510,145257.700854
1511,138273.961352
1512,180510.005562
1513,167579.522518
1514,147904.417077
1515,211060.706311
1516,154875.017984
1517,183837.316928
1518,121312.025753
1519,224305.109205
1520,122664.178214
1521,123310.094528
1522,191615.014593
1523,102192.070221
1524,137686.383011
1525,112593.643565
1526,118561.890531
1527,94974.1871268
1528,145037.993886
1529,150466.349798
1530,234228.469043
1531,134476.209497
1532,96657.0492565
1533,155877.674472
1534,133932.462875
1535,146649.690725
1536,95175.1184251
1537,41847.8693622
1538,175834.523565
1539,225007.517569
1540,137938.042527
1541,150739.73051
1542,141497.365547
1543,188541.295344
1544,78618.4534571
1545,127841.50996
1546,141679.413003
1547,122502.552647
1548,153146.679931
1549,129933.949928
1550,143966.971676
1551,114544.230654
1552,150085.890317
1553,161620.31713
1554,127571.007123
1555,143349.03076
1556,67561.7015807
1557,121074.881632
1558,113207.641484
1559,84591.4315689
1560,144968.7689
1561,135529.037433
1562,130015.52679
1563,130108.680477
1564,160244.608927
1565,145784.229862
1566,248239.149361
1567,70552.2097761
1568,223156.333296
1569,122458.100971
1570,142522.661296
1571,100369.912509
1572,148036.649257
1573,254301.049326
1574,137193.013576
1575,238679.068242
1576,249830.595281
1577,203979.946483
1578,161118.75643
1579,135004.748053
1580,198380.167003
1581,168025.696654
1582,142903.239866
1583,279428.378684
1584,228553.963188
1585,145139.412942
1586,50564.5301501
1587,112223.332193
1588,161796.682927
1589,113601.108775
1590,134993.35608
1591,83009.1559942
1592,130950.914482
1593,137862.758394
1594,164578.199184
1595,108808.783815
1596,230292.984058
1597,202972.83891
1598,215714.964685
1599,202001.545366
1600,179933.274667
1601,42340.6779144
1602,126060.53288
1603,78203.8203211
1604,279775.223583
1605,244123.001241
1606,172954.969257
1607,176965.175681
1608,217043.835184
1609,198575.776354
1610,145129.65461
1611,148274.922467
1612,181730.683123
1613,167778.395812
1614,140535.409066
1615,93213.8050076
1616,64053.9497912
1617,85834.7675745
1618,125842.362544
1619,151297.456737
1620,181300.029318
1621,130205.742414
1622,156900.986159
1623,266587.834618
1624,212589.456533
1625,125543.766716
1626,182998.725156
1627,186550.585703
1628,292771.614738
1629,188410.45562
1630,355655.316295
1631,255222.22296
1632,251729.290643
1633,196602.023532
1634,196592.177872
1635,179865.111419
1636,152350.042505
1637,192119.252502
1638,185269.409674
1639,196798.442527
1640,247865.2232
1641,188188.843383
1642,254302.610426
1643,213811.939035
1644,231563.680513
1645,210943.58959
1646,168353.463562
1647,171022.026523
1648,134223.282814
1649,128890.186431
1650,122630.91905
1651,126405.630777
1652,105807.249745
1653,106117.250471
1654,149881.485184
1655,136306.650286
1656,139061.430488
1657,152644.066549
1658,152369.638481
1659,131122.165238
1660,151161.440547
1661,393122.707266
1662,401184.157365
1663,367646.190358
1664,438615.054784
1665,326153.859609
1666,334919.256298
1667,365387.069982
1668,350494.848925
1669,332202.034997
1670,354719.808641
1671,272899.768234
1672,403398.105384
1673,300328.815746
1674,264716.506139
1675,212942.64286
1676,216055.531809
1677,225485.533597
1678,444702.540147
1679,386423.270421
1680,340022.902559
1681,287423.860989
1682,330333.67732
1683,208312.111528
1684,177569.564377
1685,184423.819027
1686,177382.216326
1687,189063.781662
1688,196512.006569
1689,208066.732292
1690,205933.397073
1691,196515.279034
1692,272491.436261
